DATE,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,TS_MAX,TS_MIN,TS,RH2M,T2MDEW,PS,WS2M,ALLSKY_SFC_SW_DWN,GWETPROF
2000-01-01,29.83,15.91,22.16,0,33,15.33,22.58,72.25,16.33,97.01,2.34,4.97,0.55
2000-01-02,29.51,16.41,22.35,0,33.24,15.98,22.94,73.25,16.87,97.04,2.45,5.13,0.55
2000-01-03,30.33,16.95,22.94,0,34.48,16.58,23.66,73.5,17.4,96.97,2.02,4.84,0.55
2000-01-04,31.09,17.12,23.46,0,35.48,16.64,24.01,71.44,17.33,96.92,1.63,5.01,0.55
2000-01-05,32.33,17.67,25.03,0,37.14,15.8,24.38,58.62,15.3,96.93,0.99,4.98,0.54
2000-01-06,32.99,19.73,26.15,0,37.73,15.11,24.49,48.12,13.69,96.89,0.7,4.74,0.54
2000-01-07,32.99,18.48,25.77,0,38.28,16.33,25.88,58.69,16.32,96.9,0.84,4.86,0.54
2000-01-08,31.24,19.88,25.33,0,35.91,19.09,25.8,67.81,18.51,96.91,1.13,5.03,0.54
2000-01-09,31.52,20.52,26.19,0.75,36.51,19.94,26.59,68.25,19.39,96.92,0.72,4.84,0.53
2000-01-10,32.34,21.63,26.87,0,37.08,21.05,27.24,65,19.28,96.87,0.84,4.62,0.53
2000-01-11,32.42,21.17,26.65,0,37.4,20.29,27.06,66.44,19.45,96.89,1.12,5.18,0.53
2000-01-12,32.68,21.33,26.66,0.11,38.36,20.57,27.37,66.88,19.44,96.86,0.98,4.82,0.53
2000-01-13,33.61,20.58,26.99,0,38.94,19.84,27.47,62.56,18.51,96.77,1.12,5.16,0.53
2000-01-14,34.1,20.16,25.79,0,39.12,17.27,25.77,54,14.39,96.73,1.12,5.29,0.52
2000-01-15,33.91,19.85,25.9,0,39.92,14.5,24.71,40.06,10.21,96.83,0.7,5.23,0.52
2000-01-16,33.22,15.74,23.71,0,38.26,14.37,23.69,47.44,10.44,96.95,1.54,5.3,0.52
2000-01-17,32.96,15.39,24.03,0,38.12,13.98,24.19,50.25,12.13,97,1.63,5.02,0.52
2000-01-18,27.23,19.51,22.31,1.14,31.76,19.14,23.01,71.88,16.81,97.22,2.62,5.17,0.52
2000-01-19,25.27,14.81,19.51,0.55,29.76,14.61,20.45,66.56,12.76,97.37,3.52,2.97,0.52
2000-01-20,22.24,13.06,17.4,0.14,25.33,13.05,18.06,69.56,11.67,97.41,3.08,4.93,0.52
2000-01-21,26.42,15.09,20,0,30.4,14.99,20.83,71,14.21,97.5,2.68,5.21,0.52
2000-01-22,29.9,15.49,22.06,0,34.62,15.11,22.85,67.69,14.95,97.32,2.41,5.4,0.52
2000-01-23,31.36,15.95,22.9,0,36.97,15.44,23.71,61.44,13.83,97.21,1.8,5.31,0.52
2000-01-24,32.51,15.16,23.76,0,38.16,14.52,24.48,57.81,13.61,97.18,1.7,5.25,0.52
2000-01-25,28.33,17.37,22.73,0.06,31.81,17.39,23.36,65.25,15.68,97.35,3.53,4.41,0.52
2000-01-26,26.26,15.11,19.33,0.01,29.36,15.24,20.05,59.94,11.01,97.57,4.64,5.33,0.51
2000-01-27,25.64,11.49,17.64,0,29.77,11.41,18.62,58.5,8.86,97.64,4.64,5.3,0.51
2000-01-28,26.3,10.2,17.49,0,30.98,10.09,18.52,63.25,9.8,97.58,3.27,5.34,0.51
2000-01-29,27.84,12.33,19.53,0,32.57,12.06,20.52,61.69,11.21,97.58,3.57,5.05,0.51
2000-01-30,27.44,12.29,19.44,0,31.94,12.01,20.51,60.06,10.94,97.74,4.19,5.1,0.51
2000-01-31,26.55,10.88,17.88,0,31.17,10.83,19.01,57.38,8.84,97.77,4.38,5.44,0.51
2000-02-01,24.68,9.21,16.01,0,28.86,9.06,16.94,55.75,6.53,97.71,4.09,4.96,0.5
2000-02-02,26.52,8.9,17.07,0,32.33,8.46,18.16,63.19,9.16,97.57,2.5,4.92,0.5
2000-02-03,28.33,11.19,18.8,0,34.05,10.59,19.71,60.94,9.75,97.47,2.18,5.02,0.5
2000-02-04,30.62,11.94,20.49,0,36.3,10.65,21.01,53.19,9.11,97.17,1.91,5.01,0.5
2000-02-05,31.14,13.18,21.36,0,36.77,12.48,22.12,58.06,11.34,97.12,2.42,5.2,0.5
2000-02-06,30.64,14.56,21.57,0,36.01,13.93,22.4,61,12.4,97.1,2.62,5.16,0.5
2000-02-07,31.13,12.99,21.07,0,36.74,12.36,22.06,58.81,11.41,97.04,2.31,5.16,0.5
2000-02-08,29.82,12.67,20.31,0,35.55,12.39,21.2,57.44,10.4,97.08,2.77,5.09,0.49
2000-02-09,30.16,12.2,20.79,0,37.17,11.65,21.67,59.12,11.01,97.01,1.81,5.05,0.49
2000-02-10,31.95,13.52,23.11,0,39.17,12,23.25,51.19,10.84,96.96,1.23,4.93,0.49
2000-02-11,32.91,17.15,25.25,0,40.77,14.02,24.97,44.31,11.16,96.91,0.86,4.93,0.49
2000-02-12,33.75,16.7,25.41,0,41.48,15.11,25.69,48.25,12.47,96.87,1.11,5.37,0.49
2000-02-13,35.07,19.37,27.37,0,43.05,15.55,26.82,40.44,11.65,96.73,0.7,5.2,0.48
2000-02-14,35.65,19.94,27.35,0,43.12,17.02,27.8,44.5,13.01,96.78,1.02,5.49,0.48
2000-02-15,31.44,20.28,25.51,0,36.4,19.78,25.96,58.75,16.44,96.94,2.18,6.27,0.48
2000-02-16,31.93,19.94,25.51,0,37.69,19.66,26.52,62,17.19,96.96,1.92,5.68,0.48
2000-02-17,33.04,20.33,26.44,0.01,40.39,19.82,27.8,58.06,16.97,96.89,1.7,4.91,0.48
2000-02-18,33.29,20.3,26.59,2.7,40.55,19.88,28.28,63.44,18.44,96.85,1.41,5.21,0.48
2000-02-19,32.46,22,26.65,1.35,37.63,21.86,27.8,70.94,20.37,96.78,2.47,5.35,0.48
